policy_loss,explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
0.0035419631749391556,0.9568113051354885,0.1508459448814392,1783880,1884,6371,0.0790489912033081
-0.012902057729661465,0.948499295860529,0.21743988990783691,1784160,1884,6372,0.08609846979379654
0.004628011025488377,0.961296945810318,0.1354028433561325,1784440,1884,6373,0.06095394492149353
-0.0075498176738619804,0.9436663798987865,0.2010483741760254,1784720,1884,6374,0.0717528760433197
-0.012263258919119835,0.941645260900259,0.236129030585289,1785000,1884,6375,0.08210322260856628
-0.0032637815456837416,0.9434708096086979,0.2278633415699005,1785280,1884,6376,0.06192869320511818
-0.003677220782265067,0.9573777355253696,0.15794235467910767,1785560,1884,6377,0.0653357058763504
-0.0014426426496356726,0.9651717096567154,0.13215473294258118,1785840,1884,6378,0.07210063934326172
0.0006699894438497722,0.8751896098256111,0.4397123157978058,1786120,1884,6379,0.06891708821058273
0.014648549258708954,0.9373317360877991,0.24004735052585602,1786400,1884,6380,0.07965517044067383
0.008071782998740673,0.9711302760988474,0.10523800551891327,1786680,1884,6381,0.0762861967086792
-0.004335347563028336,0.9770962093025446,0.08581164479255676,1786960,1884,6382,0.07397695630788803
0.01702595129609108,0.9435232989490032,0.17950688302516937,1787240,1885,6383,0.0938519611954689
0.00029275607084855437,0.9584053047001362,0.13940632343292236,1787520,1885,6384,0.08193427324295044
-0.002221459988504648,0.9343057721853256,0.2314823418855667,1787800,1885,6385,0.0873037725687027
0.003958674147725105,0.9166421964764595,0.31252753734588623,1788080,1885,6386,0.08270247280597687
-0.0035885446704924107,0.8811861649155617,0.3921429216861725,1788360,1885,6387,0.06797001510858536
-0.009674460627138615,0.9659054428339005,0.1390562802553177,1788640,1885,6388,0.07421614974737167
-0.02283374033868313,0.9705676194280386,0.1123662143945694,1788920,1885,6389,0.06913512200117111
-0.014095786958932877,0.9646165557205677,0.12953783571720123,1789200,1885,6390,0.07815434783697128
-0.015216551721096039,0.9847133057191968,0.059681884944438934,1789480,1885,6391,0.08941806852817535
7.523852400481701e-05,0.9420599825680256,0.1737455576658249,1789760,1885,6392,0.08719972521066666
-0.04777595028281212,0.894727535545826,0.33112266659736633,1790040,1885,6393,0.08355232328176498
-0.007026428822427988,0.9621375799179077,0.1320619136095047,1790320,1885,6394,0.09272205829620361
-0.02913360297679901,0.9670496210455894,0.1098875105381012,1790600,1885,6395,0.07017845660448074
0.0006144216749817133,0.9462468139827251,0.193284273147583,1790880,1885,6396,0.08063603937625885
-0.008180540055036545,0.9563087113201618,0.14073185622692108,1791160,1885,6397,0.09163065254688263
0.004782374016940594,0.9616882465779781,0.130113884806633,1791440,1885,6398,0.10753070563077927
-0.027404701337218285,0.9281711205840111,0.25854477286338806,1791720,1885,6399,0.09467919170856476
-0.01634250208735466,0.9008712992072105,0.3429817855358124,1792000,1885,6400,0.07088901102542877
-0.004550082143396139,0.965444091707468,0.11623314768075943,1792280,1885,6401,0.09216725826263428
-0.008635001257061958,0.9305471032857895,0.27250972390174866,1792560,1885,6402,0.08814307302236557
0.006926727946847677,0.9456846043467522,0.2056071162223816,1792840,1885,6403,0.06405330449342728
-0.015086113475263119,0.9617862403392792,0.14327773451805115,1793120,1885,6404,0.08837959915399551
0.0017909128218889236,0.9578706473112106,0.14829352498054504,1793400,1885,6405,0.07872460782527924
-0.0061578708700835705,0.9816823210567236,0.05959076061844826,1793680,1885,6406,0.08327170461416245
-0.011840286664664745,0.9770774412900209,0.08037445694208145,1793960,1885,6407,0.08190777897834778
-0.006764526013284922,0.9641366600990295,0.12057545781135559,1794240,1885,6408,0.07156617194414139
-0.02129516750574112,0.9558811597526073,0.1699732393026352,1794520,1885,6409,0.0726914331316948
-0.003033020067960024,0.9727570377290249,0.09919079393148422,1794800,1885,6410,0.07440556585788727
-0.008556275628507137,0.9436738938093185,0.19078628718852997,1795080,1885,6411,0.08005355298519135
