#{"t_start": 1514340648.9094906, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
2.0,3,16.098587
0,2,16.10816
0,2,16.116643
3.0,4,16.139405
0,2,16.148685
1.0,2,16.158006
1.0,2,16.165543
1.0,2,16.241141
1.0,2,16.247047
3.0,4,16.261429
3.0,4,16.276489
0,2,16.288399
2.0,3,16.308969
0,2,16.317583
1.0,2,16.401091
2.0,3,16.41293
0,2,16.421411
1.0,2,16.428355
2.0,3,16.442483
2.0,3,16.452541
1.0,2,16.461386
1.0,2,16.469287
2.0,3,16.547011
2.0,3,16.557937
0,2,16.573579
2.0,3,16.589051
0,2,16.599229
1.0,2,16.607221
0,2,16.613934
1.0,2,16.622002
2.0,3,16.637099
4.0,5,16.729121
1.0,2,16.738094
0,2,16.746755
0,2,16.753897
1.0,2,16.760766
2.0,3,16.778122
0,2,16.787182
1.0,2,16.79599
2.0,3,16.886715
2.0,3,16.899277
1.0,2,16.908975
0,2,16.915815
1.0,2,16.923155
0,2,16.930367
1.0,2,16.939127
2.0,3,16.949851
2.0,3,17.026888
2.0,3,17.03993
0,2,17.047783
4.0,5,17.072176
1.0,2,17.081513
1.0,2,17.092241
0,2,17.100301
2.0,3,17.182509
2.0,3,17.192316
2.0,3,17.209728
3.0,4,17.226284
1.0,2,17.233775
1.0,2,17.244206
0,2,17.254924
1.0,2,17.262446
1.0,2,17.348808
3.0,4,17.363529
1.0,2,17.374022
3.0,4,17.396343
1.0,2,17.411424
2.0,3,17.425853
1.0,2,17.436111
5.0,6,17.530761
3.0,4,17.547426
2.0,3,17.56322
2.0,3,17.576423
0,2,17.585779
2.0,3,17.597494
3.0,4,17.684613
1.0,2,17.69282
1.0,2,17.702258
4.0,5,17.725803
2.0,3,17.739022
0,2,17.750187
1.0,2,17.763371
0,2,17.844915
0,2,17.851333
1.0,2,17.860352
0,2,17.868417
3.0,4,17.884878
2.0,3,17.897212
0,2,17.905269
2.0,3,17.919308
2.0,3,18.015342
1.0,2,18.024063
6.0,7,18.053767
0,2,18.062248
3.0,4,18.076414
0,2,18.084924
0,2,18.154907
3.0,4,18.172323
0,2,18.179914
0,2,18.189474
0,2,18.198033
2.0,3,18.211948
0,2,18.220476
0,2,18.230061
2.0,3,18.317548
1.0,2,18.325212
3.0,4,18.338021
0,2,18.348349
1.0,2,18.356885
1.0,2,18.366669
0,2,18.376634
2.0,3,18.388166
0,2,18.395021
2.0,3,18.482449
0,2,18.492151
2.0,3,18.503627
0,2,18.511169
0,2,18.517792
1.0,2,18.525088
0,2,18.532727
2.0,3,18.546681
2.0,3,18.648795
1.0,2,18.657196
1.0,2,18.670092
0,2,18.679387
1.0,2,18.687797
0,2,18.69762
2.0,3,18.711832
0,2,18.719662
2.0,3,18.731341
2.0,3,18.808279
2.0,3,18.824129
0,2,18.832571
0,2,18.840603
